"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1435","test_api_availability[4h-USDT-DAI]","tests.basic","Wed Sep 17 17:54:25 GMT 2025","passed","Wed Sep 17 17:54:26 GMT 2025","","test_availability","",""
"","1409","test_api_availability[1h-CES-USDT]","tests.basic","Wed Sep 17 17:54:43 GMT 2025","passed","Wed Sep 17 17:54:45 GMT 2025","","test_availability","",""
"","1414","test_date_format_and_range[1h-CES-POL]","tests.validation","Wed Sep 17 18:03:35 GMT 2025","passed","Wed Sep 17 18:03:37 GMT 2025","","test_date_validation","",""
"","1922","test_zero_volume_cases[15m-DAI-CES]","tests.special","Wed Sep 17 17:59:39 GMT 2025","passed","Wed Sep 17 17:59:41 GMT 2025","","test_edge_cases","",""
"","1453","test_dates_ordered[4h-DAI-CES]","tests.validation","Wed Sep 17 18:00:33 GMT 2025","passed","Wed Sep 17 18:00:35 GMT 2025","","test_date_validation","",""
"","884","test_inverse_pairs[POL-DAI]","tests.consistency","Wed Sep 17 17:58:00 GMT 2025","passed","Wed Sep 17 17:58:01 GMT 2025","","test_inverse_pairs","",""
"Проверяет, что close находится между low и high, а также другие свечные правила","1416","test_candle_validity[1h-POL-CES]","tests.validation","Wed Sep 17 18:06:01 GMT 2025","passed","Wed Sep 17 18:06:02 GMT 2025","","test_price_validation","",""
"","1250","test_timeframe_consistency_2_weeks[DAI-CES]","tests.consistency","Wed Sep 17 17:58:53 GMT 2025","skipped","Wed Sep 17 17:58:54 GMT 2025","","test_timeframe_consistency","",""
"","1408","test_date_format_and_range[1h-POL-USDT]","tests.validation","Wed Sep 17 18:03:28 GMT 2025","passed","Wed Sep 17 18:03:30 GMT 2025","","test_date_validation","",""
"","1915","test_volume_positive[15m-CES-POL]","tests.validation","Wed Sep 17 18:08:07 GMT 2025","passed","Wed Sep 17 18:08:09 GMT 2025","","test_volume_validation","",""
"Проверяет, что close находится между low и high, а также другие свечные правила","454","test_candle_validity[-USDT-CES]","tests.validation","Wed Sep 17 18:05:24 GMT 2025","failed","Wed Sep 17 18:05:24 GMT 2025","","test_price_validation","",""
"Проверяет, что close находится между low и high, а также другие свечные правила","429","test_candle_validity[15m-USDT-CES]","tests.validation","Wed Sep 17 18:06:22 GMT 2025","failed","Wed Sep 17 18:06:23 GMT 2025","","test_price_validation","",""
"","1404","test_api_availability[1h-USDT-CES]","tests.basic","Wed Sep 17 17:54:45 GMT 2025","passed","Wed Sep 17 17:54:46 GMT 2025","","test_availability","",""
